


-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1004.0    140   23.6   18.9     75  13.88     60      6  296.4  336.6  298.9
 1000.0    121   23.0   19.6     81  14.57     45      4  296.1  338.3  298.7
  957.0    502   20.4   18.6     89  14.29     40     18  297.3  338.8  299.8
  940.0    658   19.4   18.2     93  14.17     60     26  297.7  339.0  300.2
  925.0    797   18.4   17.8     96  14.06     65     17  298.1  339.1  300.6
  897.0   1060   17.0   16.5     97  13.36     55      7  299.3  338.4  301.7
  871.0   1312   15.6   15.3     98  12.71     66     15  300.4  337.8  302.7
  850.0   1520   15.6   13.2     86  11.34     75     21  302.5  336.3  304.5
  799.0   2046   14.4   11.6     83  10.85     85     25  306.6  339.5  308.6
  782.0   2228   13.4    8.8     74   9.17     89     26  307.4  335.5  309.1
  733.0   2769   10.4    6.5     77   8.36    100     30  309.8  335.7  311.4
  702.0   3130    8.3    5.0     80   7.85    100     31  311.4  336.0  312.9
  700.0   3154    8.2    4.9     80   7.82    100     31  311.5  336.0  313.0
  660.0   3638    5.0    2.9     86   7.20     90     27  313.2  335.9  314.6
  621.0   4130    2.4    1.1     91   6.71     60     17  315.7  337.2  317.0
  576.0   4738   -0.8   -1.2     97   6.14    105     11  318.8  338.8  320.0
  564.0   4908   -1.7   -1.8     99   5.98     94     10  319.7  339.2  320.9
  560.0   4965   -2.0   -2.2     99   5.87     90     10  320.0  339.2  321.1
  551.0   5093   -2.7   -3.0     98   5.61     75     11  320.7  339.1  321.8
  537.0   5296   -3.7   -4.3     96   5.22     95     13  321.8  339.0  322.8
  518.0   5581   -5.2   -6.1     94   4.70     95     13  323.3  339.0  324.2
  504.0   5797   -6.4   -7.5     92   4.34     70     14  324.5  339.1  325.3
  500.0   5860   -6.7   -7.9     91   4.24     75     15  324.8  339.1  325.6
  430.0   7023  -13.7  -15.7     85   2.63     94     11  330.2  339.5  330.7
  427.0   7076  -13.9  -16.4     82   2.51     95     11  330.6  339.5  331.1
  404.0   7495  -15.7  -21.7     60   1.68    125     16  333.6  339.7  333.9
  400.0   7570  -16.3  -21.3     65   1.76    130     17  333.7  340.1  334.1
  393.0   7702  -17.3  -22.9     61   1.55    140     16  334.1  339.9  334.5
  380.0   7955  -19.1  -26.1     54   1.20    139     15  334.9  339.5  335.2
  345.0   8656  -24.6  -29.8     62   0.94    135     11  336.9  340.5  337.1
  337.0   8826  -25.9  -30.7     64   0.89    115     11  337.4  340.8  337.5
  302.0   9622  -32.1  -34.9     77   0.66    155      9  339.3  341.9  339.5
  300.0   9670  -32.5  -35.1     78   0.65    155     10  339.4  342.0  339.6
  297.0   9741  -33.1  -34.9     84   0.67    153     10  339.6  342.2  339.7
  285.0  10029  -34.9  -39.7     62   0.43    145     12  341.0  342.8  341.1
  280.0  10153  -35.7  -41.7     54   0.35    160     12  341.6  343.1  341.7
  275.0  10277  -36.7  -43.3     50   0.30    175     11  341.9  343.2  342.0
  266.0  10507  -38.5  -46.2     44   0.23    145     14  342.6  343.5  342.6
  264.0  10559  -38.9  -46.9     43   0.21    146     14  342.7  343.6  342.8
  250.0  10930  -42.3  -50.3     41   0.15    155     16  343.0  343.7  343.1
  241.0  11177  -44.5  -53.1     38   0.11    170     13  343.4  343.9  343.4
  236.0  11318  -45.7  -54.7     35   0.10    161     15  343.6  344.0  343.6
  230.0  11486  -47.3  -56.1     36   0.08    150     18  343.8  344.1  343.8
  226.0  11601  -48.3  -57.0     36   0.08    165     18  343.9  344.2  343.9
  210.0  12081  -52.8  -61.0     36   0.05    165     22  344.2  344.5  344.2
  200.0  12400  -55.7  -63.7     36   0.04    170     22  344.4  344.6  344.4
  173.0  13303  -63.7  -71.7     33   0.01    199     29  345.8  345.8  345.8
  168.0  13479  -65.1  -72.9     33   0.01    205     30  346.3  346.3  346.3
  150.0  14160  -70.7  -77.7     35   0.01    215     19  348.1  348.1  348.1
  146.0  14320  -72.0  -79.0     34   0.01    220     16  348.6  348.6  348.6
  142.0  14484  -73.3  -80.3     34   0.00    220     19  349.1  349.1  349.1
  137.0  14695  -72.5  -80.6     29   0.00    255     29  354.0  354.0  354.0
  131.0  14960  -71.6  -80.9     24   0.00    240     28  360.3  360.3  360.3
  128.0  15096  -71.1  -81.1     22   0.00    240     23  363.5  363.6  363.5
  123.0  15328  -72.5  -82.8     20   0.00    240     15  365.2  365.2  365.2
  121.0  15423  -73.1  -83.5     19   0.00    270     10  365.8  365.9  365.8
  114.0  15769  -75.1  -86.1     17   0.00      5      3  368.3  368.3  368.3
  104.0  16302  -78.3  -90.0     14   0.00    135     10  371.9  371.9  371.9
  100.0  16530  -79.7  -91.7     13   0.00    145     15  373.5  373.5  373.5
   88.0  17254  -81.4  -93.4     12   0.00     90     16  384.0  384.0  384.0
   84.7  17470  -81.9  -93.9     12   0.00     80     12  387.2  387.2  387.2
   82.0  17652  -82.1  -94.1     12   0.00     80     14  390.4  390.4  390.4
   81.6  17680  -82.1  -94.1     12   0.00     77     13  390.9  390.9  390.9
   79.0  17863  -81.4  -93.4     12   0.00     55     10  396.0  396.0  396.0
   77.9  17942  -81.1  -93.1     12   0.00     53     10  398.2  398.2  398.2
   74.4  18206  -74.5  -88.5     10   0.00     45      9  417.4  417.4  417.4
   70.0  18560  -77.1  -92.1      8   0.00     35      7  419.1  419.1  419.1
   68.0  18725  -77.6  -93.0      7   0.00    150      2  421.5  421.5  421.5
   64.1  19062  -78.7  -94.7      6   0.00    200      3  426.3  426.3  426.3
   60.0  19445  -72.7  -90.3      6   0.00    255      5  447.9  447.9  447.9
   59.1  19533  -71.3  -89.3      5   0.00    273      9  452.9  452.9  452.9
   58.0  19643  -71.8  -90.1      5   0.00    295     13  454.2  454.2  454.2
   54.0  20061  -73.7  -93.3      4   0.00    300     26  459.2  459.2  459.2
   52.8  20193  -74.3  -94.3      3   0.00    297     29  460.8  460.8  460.8
   52.0  20282  -74.1  -94.1      3   0.00    295     31  463.3  463.3  463.3
   50.0  20510  -73.5  -93.5      3   0.00    290     28  469.9  469.9  469.9
   46.0  21001  -71.4  -93.3      3   0.00    260     21  486.2  486.3  486.2
   45.8  21027  -71.3  -93.3      3   0.00    261     20  487.1  487.1  487.1
   44.0  21270  -68.9  -92.9      2   0.00    275     12  498.7  498.7  498.7
   43.0  21410  -67.5  -92.7      2   0.00    320     11  505.4  505.4  505.4
   42.0  21552  -66.0  -92.4      1   0.00    350     11  512.3  512.4  512.3
   41.0  21698  -64.6  -92.2      1   0.00     40      8  519.5  519.5  519.5
   40.0  21848  -63.1  -91.9      1   0.00     80     11  527.0  527.0  527.0
   39.1  21986  -61.7  -91.7      1   0.00     87     19  533.9  533.9  533.9
   37.0  22326  -63.8  -93.8      1   0.00    105     37  536.9  536.9  536.9
   36.0  22495  -64.9  -94.9      1   0.00    107     34  538.4  538.4  538.4
   34.0  22848  -63.6  -94.0      1   0.00    110     29  550.5  550.5  550.5
   32.0  23222  -62.3  -93.0      1   0.00     75     27  563.7  563.7  563.7
   30.0  23620  -60.9  -91.9      1   0.00     80     41  578.0  578.1  578.0
   29.6  23704  -59.9  -90.9      1   0.00     84     44  583.0  583.0  583.0
   29.0  23831  -59.9  -90.9      1   0.00     90     49  586.4  586.5  586.4
   28.9  23853  -59.9  -90.9      1   0.00                587.0  587.0  587.0
