


-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1011.0     29  -19.1  -21.0     85   0.71    350     13  253.3  255.2  253.4
 1000.0    114  -19.7  -21.6     85   0.68    345     18  253.4  255.3  253.6
  974.5    305  -21.5  -22.1     95   0.67     15     18  253.5  255.4  253.6
  972.0    324  -21.7  -22.1     97   0.67     15     18  253.5  255.4  253.6
  965.0    377  -21.5  -21.7     98   0.70     14     19  254.2  256.2  254.3
  960.0    416  -18.7  -19.0     97   0.89     13     20  257.4  259.9  257.6
  956.0    447  -18.5  -19.7     90   0.84     13     20  257.9  260.3  258.1
  954.0    462  -18.7  -20.0     89   0.82     12     21  257.9  260.2  258.0
  935.3    610  -17.6  -20.6     77   0.80     10     23  260.5  262.8  260.6
  928.0    669  -17.1  -20.9     72   0.78     10     22  261.6  263.8  261.7
  925.0    693  -17.1  -20.4     75   0.82     10     21  261.8  264.2  261.9
  898.1    914  -16.8  -19.2     81   0.94     15     20  264.4  267.1  264.5
  876.0   1101  -16.5  -18.2     87   1.05    354     16  266.5  269.6  266.7
  862.4   1219  -17.3  -18.6     90   1.03    340     13  266.9  269.8  267.0
  850.0   1327  -18.1  -19.0     93   1.01    325     11  267.2  270.1  267.3
  844.0   1380  -18.5  -18.9     97   1.02    322     12  267.3  270.2  267.5
  827.9   1524  -17.3  -18.8     88   1.05    315     13  270.1  273.1  270.2
  823.0   1569  -16.9  -18.8     85   1.06    310     14  270.9  274.0  271.1
  794.9   1829  -17.8  -19.5     86   1.03    280     20  272.7  275.7  272.9
  778.0   1990  -18.3  -20.0     86   1.01    301     22  273.8  276.8  274.0
  763.1   2134  -18.6  -23.9     63   0.73    320     24  275.0  277.2  275.1
  760.0   2164  -18.7  -24.7     59   0.68    319     24  275.2  277.3  275.3
  732.5   2438  -20.2  -26.2     59   0.62    310     22  276.5  278.4  276.6
  730.0   2464  -20.3  -26.3     59   0.62    308     22  276.6  278.6  276.7
  702.9   2743  -21.3  -26.1     65   0.65    290     27  278.6  280.6  278.7
  702.0   2753  -21.3  -26.1     65   0.65    292     27  278.6  280.7  278.8
  700.0   2774  -21.1  -28.1     53   0.54    295     28  279.1  280.8  279.2
  696.0   2816  -20.9  -29.9     44   0.46    295     29  279.8  281.2  279.9
  619.0   3658  -26.3  -39.9     27   0.19    285     39  283.1  283.8  283.1
  568.6   4267  -30.2  -47.1     18   0.10    285     43  285.5  285.8  285.5
  522.3   4877  -34.1  -54.4     11   0.05    290     47  287.8  288.0  287.8
  500.6   5182  -36.0  -58.0      9   0.03    290     48  288.9  289.1  288.9
  500.0   5190  -36.1  -58.1      9   0.03    290     50  289.0  289.1  289.0
  480.0   5473  -38.3  -58.3     10   0.03    288     55  289.6  289.8  289.6
  437.9   6096  -41.9  -59.9     12   0.03    285     67  292.8  292.9  292.8
  400.0   6710  -45.5  -61.5     15   0.02    285     75  295.8  295.9  295.8
  387.0   6929  -46.1  -63.1     13   0.02    281     80  297.8  297.9  297.8
  382.2   7010  -46.7  -63.5     13   0.02    280     82  298.0  298.1  298.0
  347.9   7620  -51.5  -66.9     14   0.01    275     80  299.8  299.8  299.8
  316.0   8242  -56.3  -70.3     16   0.01    279     87  301.4  301.4  301.4
  304.0   8486  -57.3  -70.6     17   0.01    280     90  303.3  303.3  303.3
  301.7   8534  -57.5  -70.7     17   0.01    280     90  303.6  303.7  303.6
  300.0   8570  -57.7  -70.7     18   0.01    280     89  303.9  303.9  303.9
  294.0   8698  -58.1  -71.1     17   0.01    282     81  305.1  305.1  305.1
  287.5   8839  -58.6  -71.4     18   0.01    285     72  306.4  306.4  306.4
  273.9   9144  -59.6  -72.1     18   0.01    280     66  309.1  309.2  309.1
  261.0   9449  -60.6  -72.7     19   0.01    275     61  311.9  311.9  311.9
  258.0   9522  -60.9  -72.9     19   0.01    270     61  312.6  312.6  312.6
  252.0   9670  -60.9  -72.9     19   0.01    266     63  314.7  314.7  314.7
  250.0   9720  -60.1  -73.1     17   0.01    265     64  316.6  316.6  316.6
  236.9  10058  -56.9  -75.5      8   0.01    260     66  326.4  326.4  326.4
  234.0  10135  -56.1  -76.1      6   0.01    263     65  328.7  328.7  328.7
  216.0  10641  -57.7  -81.7      3   0.00    279     56  333.8  333.8  333.8
  215.1  10668  -57.5  -81.7      3   0.00    280     56  334.6  334.6  334.6
  205.0  10973  -55.0  -81.7      2   0.00    275     48  343.1  343.1  343.1
  200.0  11130  -53.7  -81.7      2   0.00    275     49  347.6  347.6  347.6
  199.0  11162  -53.5  -82.5      2   0.00    275     49  348.4  348.4  348.4
  193.0  11359  -54.3  -83.3      2   0.00    278     48  350.2  350.2  350.2
  186.4  11582  -54.3  -84.0      1   0.00    280     47  353.7  353.7  353.7
  183.0  11700  -54.3  -84.3      1   0.00    276     47  355.5  355.5  355.5
  178.0  11878  -52.3  -83.3      1   0.00    270     48  361.6  361.6  361.6
  177.8  11887  -52.3  -83.3      1   0.00    270     48  361.7  361.7  361.7
  169.5  12192  -53.4  -83.9      1   0.00    275     37  364.8  364.8  364.8
  162.0  12484  -54.5  -84.5      1   0.00    268     38  367.8  367.8  367.8
  154.2  12802  -52.8  -84.1      1   0.00    260     40  375.9  375.9  375.9
  150.0  12980  -51.9  -83.9      1   0.00    270     43  380.4  380.4  380.4
  147.1  13106  -51.2  -83.8      1   0.00    280     42  383.7  383.8  383.7
  145.0  13200  -50.7  -83.7      1   0.00    278     43  386.2  386.2  386.2
  133.9  13716  -52.2  -84.6      1   0.00    265     46  392.4  392.4  392.4
  128.0  14007  -53.1  -85.1      1   0.00    284     47  395.9  395.9  395.9
  127.7  14021  -53.1  -85.1      1   0.00    285     47  396.2  396.2  396.2
  121.8  14326  -52.2  -84.9      1   0.00    260     25  403.1  403.1  403.1
  118.0  14532  -51.7  -84.7      1   0.00    253     28  407.8  407.8  407.8
  116.2  14630  -52.3  -85.0      1   0.00    250     29  408.4  408.4  408.4
  113.0  14812  -53.5  -85.5      1   0.00    254     31  409.5  409.5  409.5
  105.7  15240  -52.6  -85.2      1   0.00    265     37  419.0  419.0  419.0
  100.9  15545  -52.0  -84.9      1   0.00    270     40  425.9  425.9  425.9
  100.0  15600  -51.9  -84.9      1   0.00    270     40  427.2  427.2  427.2
   96.2  15850  -51.2  -84.2      1   0.00    285     41  433.3  433.4  433.3
   95.9  15871  -51.1  -84.1      1   0.00    285     41  433.9  433.9  433.9
   83.5  16764  -52.9  -85.2      1   0.00    290     30  447.8  447.8  447.8
   79.7  17069  -53.5  -85.6      1   0.00    280     24  452.6  452.6  452.6
   78.3  17179  -53.7  -85.7      1   0.00    275     25  454.4  454.4  454.4
   76.0  17374  -53.2  -85.6      1   0.00    265     27  459.3  459.3  459.3
   72.6  17665  -52.5  -85.5      1   0.00    273     29  466.8  466.9  466.8
   70.0  17900  -53.5  -86.5      1   0.00    280     31  469.6  469.6  469.6
   64.7  18405  -55.1  -87.1      1   0.00    290     33  476.8  476.8  476.8
   59.9  18898  -54.6  -86.9      1   0.00    300     35  488.5  488.6  488.5
   54.5  19507  -53.9  -86.6      1   0.00    295     22  503.5  503.5  503.5
   52.0  19812  -53.6  -86.4      1   0.00    280     26  511.1  511.2  511.1
   50.0  20060  -53.3  -86.3      1   0.00    285     27  517.4  517.5  517.4
   47.3  20422  -53.1  -86.2      1   0.01    290     31  526.1  526.2  526.1
   43.0  21031  -52.9  -85.9      1   0.01    285     20  541.1  541.2  541.1
   41.0  21336  -52.8  -85.8      1   0.01    290     25  548.8  548.8  548.8
   39.8  21533  -52.7  -85.7      1   0.01    284     28  553.8  553.8  553.8
   39.1  21641  -53.0  -85.9      1   0.01    280     29  555.8  555.8  555.8
   37.3  21946  -53.8  -86.3      1   0.01    290     24  561.3  561.4  561.3
   35.6  22250  -54.6  -86.8      1   0.01    280     29  566.9  566.9  566.9
   33.9  22555  -55.4  -87.3      1   0.01    310     23  572.5  572.6  572.5
   30.0  23340  -57.5  -88.5      1   0.01    315     24  587.3  587.4  587.3
   29.4  23470  -57.8  -88.7      1   0.01    315     24  590.0  590.1  590.0
   28.0  23774  -58.5  -89.2      1   0.00    290     26  596.4  596.5  596.4
   25.4  24384  -59.8  -90.2      1   0.00    300     19  609.4  609.5  609.4
   23.1  24973  -61.1  -91.1      1   0.00    315     31  622.3  622.3  622.3
